Tier,Ticker,Name,Beta_1Y,Downside_Capture_Pct,Upside_Capture_Pct,Sortino_Ratio,Vol_60D_Pct,MDD_24M_Pct,Above_200MA,Dividend_Yield_Pct,Recession_Composite_Pct,Counter_Cyclical_Strength,D1_RecessionFit_40w,D2_CounterCyclical_17p5w,D3_QualityFactor_17p5w,D4_VolDrawdown_17p5w,D5_MacroFit_7p5w,Total_Score,Signal,Recommended_Weight_Pct,Stop_Loss_Pct,Entry_Rationale
T3,JNJ,Johnson & Johnson,0.55,60,65,0.85,15.0,-13.0,Y,3.2,62.25,74,78,74,88,80,68,78.65,FLIGHT_TO_QUALITY,2.5,-10%,Dividend Aristocrat 60+년. Kenvue 분사 후 pure-play 파마.
T3,PG,Procter & Gamble,0.48,55,60,0.95,14.0,-12.0,Y,2.5,62.25,76,76,76,86,80,68,77.85,FLIGHT_TO_QUALITY,2.5,-10%,비탄력 소비재 + Quality. 가격 결정력 입증.
T3,KO,Coca-Cola Co,0.50,56,62,0.95,14.0,-11.0,Y,3.1,62.25,75,76,75,85,80,68,77.5,FLIGHT_TO_QUALITY,2.0,-10%,글로벌 비탄력 소비. BRK-B 주요 보유 신뢰 시그널.
T3,COST,Costco Wholesale,0.70,65,80,1.05,19.0,-14.0,Y,0.5,62.25,68,72,68,85,75,65,73.6,SATELLITE,1.0,-10%,Quality 우수하나 PER 50배 valuation 부담. 침체기 traffic 양호.
T3,NEE,NextEra Energy,0.65,65,70,0.85,18.0,-16.0,Y,3.0,62.25,70,74,70,78,72,70,73.35,SATELLITE,0.5,-10%,Utility + 재생E. 금리민감 듀얼익스포저.
T3,ABBV,AbbVie Inc,0.55,60,70,0.90,17.0,-14.0,Y,3.5,62.25,70,72,70,80,75,65,73.05,SATELLITE,1.0,-10%,Humira LOE 후 Skyrizi/Rinvoq 회복 궤도. 파이프라인 안정.
T3,BRK-B,Berkshire Hathaway B,0.85,75,90,1.00,18.0,-15.0,Y,0.0,62.25,65,70,65,88,72,65,72.25,SATELLITE,1.5,-10%,Buffett 현금 $300B+ 보유 = built-in defensiveness. 베타 다소 높음.
T3,PEP,PepsiCo Inc,0.55,60,65,0.80,16.0,-16.0,N,3.5,62.25,68,72,68,80,70,65,71.825,SATELLITE,0.5,-10%,200MA 하회 약점. GLP-1 수요 둔화 노이즈.
T3,VZ,Verizon Communications,0.45,50,50,0.65,16.0,-18.0,N,6.5,62.25,72,70,72,70,70,65,69.975,SATELLITE,0.5,-10%,고배당 6.5% but secular decline 우려. 부채 부담.
T4,PSQ,ProShares Short QQQ,-1.05,-100,-100,N/A,18.0,-52.0,N,,62.25,100,78,100,50,65,78,74.675,SATELLITE,3.0,-15%,테크 crowding + Nasdaq concentration risk 헤지. Daily reset 30일 청산.
T4,SH,ProShares Short S&P 500,-1.00,-100,-100,N/A,16.0,-45.0,N,,62.25,100,75,100,50,65,75,73.25,SATELLITE,3.0,-15%,SPX 베타 헤지. Phase 3 진입 기준 신규 활성.
T4,DOG,ProShares Short Dow30,-1.00,-100,-100,N/A,15.0,-42.0,N,,62.25,100,70,100,50,60,72,70.15,SATELLITE,2.0,-15%,가치주 약세 대비. SH 대비 종목수 적어 path-dependency 더 강함.
T4,VIXY,ProShares VIX Short-Term Futures,-3.00,-300,-300,N/A,65.0,-85.0,N,,62.25,100,80,100,30,50,85,69.875,TACTICAL,2.0,-15%,호르무즈 단기 VIX 스파이크 capture. Contango 월 5-8% — 30일 강제 청산.
